Enkät,Enkätkategori,Enkätkategori.1,Kursens ämnesinnehåll har gett mig möjlighet att uppnå kursens lärandemål.,"Kursens olika undervisnings- och arbetsformer har varit relevanta i relation till kursens lärandemål. Till undervisnings- och arbetsformer räknas till exempel föreläsningar, seminarier, laborationer, basgrupper, handledning, projekt och lektioner.",Kursens examinerande moment har varit relevanta i relation till kursens lärandemål.,Kursens pedagogiska genomförande har varit till stöd för mitt lärande.,"Anser du att kursens innehåll, genomförande och examination stämmer med kursplanen?",Vilket helhetsbetyg ger du kursen?,course_code
Affärsrätt (747G16 2021-01-18 Lin 1366385),2020,HT,4.17,4.2,4.37,3.57,4.44,3.8,747G16
Affärsrätt (747G25 2021-01-18 Lin 1366388),2020,HT,3.6,3.8,4.0,3.2,4.2,3.8,747G25
Affärsrätt (Samläsning) (TEAE13 2020-06-01 Lin 1087350),2020,VT,4.44,3.89,4.44,3.67,4.44,3.78,TEAE13
Affärsstrategier (Samläsning) (TEIE72 2020-10-26 Lin 1087099),2020,HT,4.29,3.98,4.07,3.5,4.21,3.52,TEIE72
Affärssystem för företag (725G49 2021-01-11 Lin 934102),2020,HT,3.46,3.25,3.71,2.71,3.92,2.92,725G49
Affärssystem: process och implementering (Samläsning) (TDEI13 2020-10-26 Lin 1087044),2020,HT,4.0,3.56,4.25,3.44,4.33,3.78,TDEI13
"Agent-Based Modelling (Co-learning) (771A22, 771A21 2020-06-01 Nor 927690)",2020,VT,3.35,2.95,3.35,2.65,3.5,2.8,771A22
"Agent-Based Modelling (Co-learning) (771A22, 771A21 2020-06-01 Nor 927690)",2020,VT,3.35,2.95,3.35,2.65,3.5,2.8,771A21
Agil projektmetodik (TEIO92 2020-03-23 Nor 989637),2020,VT,3.9,3.6,4.1,3.5,3.71,3.8,TEIO92
AI Robotics (Co-learning) (TDDE05 2020-06-01 Lin 1086818),2020,VT,5.0,5.0,5.0,5.0,5.0,4.5,TDDE05
Air Traffic Management (TNFL10 2020-03-23 Nor 996226),2020,VT,1.33,1.73,1.36,1.09,1.62,1.18,TNFL10
Aircraft Aerodynamics - Project Course (Co-learning) (TMMV26 2021-01-11 Lin 1352665),2020,HT,4.5,4.5,4.75,4.5,4.75,4.5,TMMV26
Aircraft and Vehicle Design (Co-learning) (TMAL02 2020-10-26 Lin 1087178),2020,HT,4.17,4.42,4.25,3.88,4.08,3.79,TMAL02
Aircraft Conceptual Design - Project Course (Co-learning) (TMAL06 2020-06-01 Lin 1087836),2020,VT,4.64,4.71,4.43,4.57,4.5,4.43,TMAL06
Aircraft Conceptual Design (Co-learning) (TMAL51 2020-03-23 Lin 1086807),2020,VT,4.55,4.27,4.45,4.27,4.09,4.18,TMAL51
Aircraft Structures - Project Course (Co-learning) (TMHL26 2021-01-11 Lin 1087534),2020,HT,5.0,4.0,3.0,5.0,5.0,4.0,TMHL26
