Enkät,Enkätkategori,Enkätkategori.1,Kursens ämnesinnehåll har gett mig möjlighet att uppnå kursens lärandemål.,"Kursens olika undervisnings- och arbetsformer har varit relevanta i relation till kursens lärandemål. Till undervisnings- och arbetsformer räknas till exempel föreläsningar, seminarier, laborationer, basgrupper, handledning, projekt och lektioner.",Kursens examinerande moment har varit relevanta i relation till kursens lärandemål.,Kursens pedagogiska genomförande har varit till stöd för mitt lärande.,"Anser du att kursens innehåll, genomförande och examination stämmer med kursplanen?",Vilket helhetsbetyg ger du kursen?,course_code
"Trä- och metallslöjd på distans, kurs 1 - Det pedagogiska slöjdrummet, 1-15hp (919G30 2023-01-16 Lin 1401835)",2022,HT,4.75,4.5,4.25,4.0,4.5,4.25,919G30
"Trä- och metallslöjd på distans, kurs 2 - Lärandeprocesser i slöjd, 16-30hp (919G47 2022-06-06 Lin 1372908)",2022,VT,4.67,4.5,4.83,4.33,4.83,4.33,919G47
"Trä- och metallslöjd på distans, kurs 2 - Lärandeprocesser i slöjd, 16-30hp (919G47 2022-06-06 Lin 1384704)",2022,VT,0.0,0.0,0.0,0.0,0.0,0.0,919G47
"Trä- och metallslöjd på distans, kurs 2 - Lärandeprocesser i slöjd, 16-30hp (919G47 2023-01-16 Lin 1400912)",2022,HT,4.89,4.89,4.89,4.56,4.78,4.78,919G47
"Trä- och metallslöjd på distans, kurs 2 - Lärandeprocesser i slöjd, 16-30hp (919G47 2023-01-16 Lin 1401850)",2022,HT,0.0,0.0,0.0,0.0,0.0,0.0,919G47
"Trä- och metallslöjd på distans, kurs 3 - Slöjdens tradition och samtid, 31-45hp (919G48 2022-06-06 Lin 1372918)",2022,VT,4.4,4.0,4.4,3.4,4.0,4.0,919G48
"Trä- och metallslöjd på distans, kurs 3 - Slöjdens tradition och samtid, 31-45hp (919G48 2023-01-16 Lin 1400977)",2022,HT,3.43,2.71,3.0,2.86,3.67,2.71,919G48
"Trä- och metallslöjd på distans, kurs 4 - Slöjd och slöjddidaktik, 46-60hp (919G49 2022-06-06 Lin 1372924)",2022,VT,4.0,4.0,5.0,3.0,3.0,3.0,919G49
"Trä- och metallslöjd på distans, kurs 4 - Slöjd och slöjddidaktik, 46-60hp (919G49 2022-06-06 Lin 1399542)",2022,VT,0.0,0.0,0.0,0.0,0.0,0.0,919G49
"Trä- och metallslöjd på distans, kurs 4 - Slöjd och slöjddidaktik, 46-60hp (919G49 2023-01-16 Lin 1400979)",2022,HT,4.5,3.0,4.5,4.0,4.5,4.0,919G49
"Trä- och metallslöjd: Verksamhetsförlagd utbildning (31-37,5 hp) (92TMV9 2022-09-19 Lin 1403676)",2022,HT,0.0,0.0,0.0,0.0,0.0,0.0,92TMV9
"Trä- och metallslöjd: Verksamhetsförlagd utbildning (31-37,5hp) (93TMV9 2022-09-19 Lin 1402088)",2022,HT,0.0,0.0,0.0,0.0,0.0,0.0,93TMV9
Träkonstruktion (TNBJ21 2022-10-24 Nor 1398457),2022,HT,2.25,2.67,3.09,1.17,2.73,1.92,TNBJ21
Träteknik - Innovation (TMKA13 2022-03-21 Lin 1386474),2022,VT,4.46,4.21,4.43,3.57,4.33,3.79,TMKA13
Träteknik - Material (TMKT80 2022-10-24 Lin 1391759),2022,HT,4.89,4.58,4.68,4.89,4.89,4.79,TMKT80
Träteknik - Produktframtagning (TMPR01 2023-01-09 Lin 1391817),2022,HT,4.64,4.36,4.55,4.45,4.7,4.45,TMPR01
Tumour Biology (8FA229 2023-01-08 Lin 1423330),2022,HT,5.0,4.0,5.0,4.0,5.0,4.0,8FA229
Tumour Biology (8MEA12 2023-01-08 Lin 1422284),2022,HT,4.2,4.4,4.8,4.2,4.2,4.0,8MEA12
Tysk affärskultur och näringsliv (704G07 2023-01-16 Ort 1374032),2022,HT,5.0,5.0,5.0,5.0,5.0,5.0,704G07
Tysk affärskultur och näringsliv (704G07 2023-01-16 Ort 1418283),2022,HT,0.0,0.0,0.0,0.0,0.0,0.0,704G07
"Tysk kommunikation och rättskultur II, fortsättningskurs (715G14 2022-04-04 Lin 1387033)",2022,VT,3.33,2.33,2.67,2.67,2.33,2.67,715G14
Tyska för studier och yrkesliv: nybörjarkurs (701G27 2023-01-16 Ort 1375762),2022,HT,4.0,5.0,3.67,4.33,4.5,4.33,701G27
Tyska med inriktning mot ekonomi och samhälle (704G49 2022-08-13 Ort 1424140),2022,VT,5.0,5.0,5.0,5.0,5.0,5.0,704G49
Tyska med juridisk inriktning (704G15 2022-06-06 Ort 1374261),2022,VT,0.0,0.0,0.0,0.0,0.0,0.0,704G15
"Tyska med teknisk inriktning (Samläsning) (ETE343, THTY27 2023-01-09 Ort 1388640)",2022,HT,4.0,2.0,3.0,4.0,5.0,3.0,ETE343
"Tyska med teknisk inriktning (Samläsning) (ETE343, THTY27 2023-01-09 Ort 1388640)",2022,HT,4.0,2.0,3.0,4.0,5.0,3.0,THTY27
"Tyska: Språk och professionell kommunikation, nivå B1 (Samläsning) (701G17 2022-06-06 Ort 1375476)",2022,VT,3.5,4.0,4.0,2.0,4.0,3.0,701G17
"Tyska: Språk och professionell kommunikation, nivå B1 (Samläsning) (701G17 2023-01-16 Ort 1418147)",2022,HT,4.6,4.8,4.6,4.6,4.4,4.6,701G17
"Tyska: Språk och professionell kommunikation, nivå B2 (701G30 2023-01-16 Ort 1424856)",2022,HT,5.0,5.0,5.0,5.0,5.0,5.0,701G30
"Tyska: Språk och professionell kommunikation, nivå B2 (Samläsning) (701G18 2022-06-06 Ort 1375595)",2022,VT,4.0,3.75,4.67,3.0,4.67,3.5,701G18
Tyska: verksamhetsförlagd utbildning (92TYLV 2022-06-06 Lin 1384833),2022,VT,5.0,5.0,5.0,5.0,5.0,5.0,92TYLV
Tävlingsfordonsprojekt (TMPP02 2022-05-30 Lin 1376672),2022,VT,4.75,5.0,4.5,3.67,4.33,4.75,TMPP02
Tävlingsfordonsprojekt (TMPP02 2023-01-09 Lin 1391718),2022,HT,5.0,5.0,5.0,4.75,5.0,5.0,TMPP02
Understanding research (945A05 2022-01-24 Ort 1290257),2022,VT,3.64,2.43,3.57,2.43,3.15,2.71,945A05
"Undersökning och behandling av yrsel och balansrubbningar (Samläsning) (8FA260, 8FYA24, 8MM237 2022-03-28 Lin 1371967)",2022,VT,4.86,4.77,4.77,4.82,4.86,4.77,8FA260
"Undersökning och behandling av yrsel och balansrubbningar (Samläsning) (8FA260, 8FYA24, 8MM237 2022-03-28 Lin 1371967)",2022,VT,4.86,4.77,4.77,4.82,4.86,4.77,8FYA24
"Undersökning och behandling av yrsel och balansrubbningar (Samläsning) (8FA260, 8FYA24, 8MM237 2022-03-28 Lin 1371967)",2022,VT,4.86,4.77,4.77,4.82,4.86,4.77,8MM237
Undervisning i det flerspråkiga klassrummet (910G11 2023-01-16 Ort 1400967),2022,HT,0.0,0.0,0.0,0.0,0.0,0.0,910G11
Undervisning och möten (940G32 2022-06-06 Lin 1367476),2022,VT,4.53,4.2,4.47,4.2,4.53,4.33,940G32
Undervisning och möten (940G32 2023-01-16 Lin 1422226),2022,HT,4.67,4.5,4.67,4.83,4.67,4.83,940G32
Undervisningens didaktiska processer (9KP304 2022-06-06 Lin 1384605),2022,VT,4.67,4.33,4.67,4.0,4.5,4.33,9KP304
Undervisningens didaktiska processer (9KP304 2022-06-06 Lin 1385670),2022,VT,4.11,4.44,4.62,4.0,4.22,4.0,9KP304
Undervisningens didaktiska processer (9KP304 2022-06-06 Lin 1397576),2022,VT,5.0,5.0,4.5,5.0,5.0,4.5,9KP304
Undervisningens sociala processer (9KPA05 2022-03-28 Lin 1384610),2022,VT,4.77,4.38,4.31,4.15,4.38,4.15,9KPA05
Undervisningens sociala processer (9KPA05 2022-03-28 Lin 1397579),2022,VT,3.0,5.0,5.0,4.0,5.0,4.0,9KPA05
Undervisningens sociala processer (9KPA05 2022-10-24 Lin 1401829),2022,HT,4.54,4.69,4.64,4.64,4.86,4.64,9KPA05
Undervisningens sociala processer (9KPA05 2022-10-24 Lin 1402844),2022,HT,4.67,3.5,4.17,2.83,4.5,3.33,9KPA05
Undervisningens sociala processer (9KPA05 2022-10-24 Lin 1421684),2022,HT,4.67,4.0,4.0,5.0,4.5,4.0,9KPA05
Undervisningens specialpedagogiska dimensioner (9KPA07 2022-03-28 Lin 1384645),2022,VT,4.6,4.4,4.6,4.3,4.6,4.4,9KPA07
Undervisningens specialpedagogiska dimensioner (9KPA07 2022-03-28 Lin 1384718),2022,VT,0.0,0.0,0.0,0.0,0.0,0.0,9KPA07
Undervisningens specialpedagogiska dimensioner (9KPA07 2022-03-28 Lin 1397582),2022,VT,5.0,5.0,5.0,5.0,5.0,5.0,9KPA07
Undervisningens specialpedagogiska dimensioner (9KPA07 2023-01-16 Lin 1401796),2022,HT,4.46,4.46,4.31,4.62,4.54,4.31,9KPA07
Undervisningens specialpedagogiska dimensioner (9KPA07 2023-01-16 Lin 1402995),2022,HT,3.75,3.0,3.2,3.0,3.0,2.8,9KPA07
Undervisningens specialpedagogiska dimensioner (9KPA07 2023-01-16 Lin 1421694),2022,HT,4.83,4.33,4.17,4.5,4.33,4.17,9KPA07
Ungdomslitteratur (Samläsning) (716G22 2023-01-16 Ort 1418531),2022,HT,5.0,4.83,4.83,4.67,5.0,4.5,716G22
Upphandlingsrätt (747A24 2022-06-06 Lin 1387554),2022,VT,4.33,4.33,4.67,4.0,4.0,4.0,747A24
Uppsats (748A31 2023-01-16 Lin 1367726),2022,HT,3.24,2.95,3.83,2.26,3.43,2.57,748A31
"Uppsats, magister, pedagogiskt arbete (942A11 2022-06-06 Lin 1290285)",2022,VT,0.0,4.0,0.0,4.0,5.0,4.0,942A11
"Uppsats, magister, pedagogiskt arbete med inriktning mot yngre barns lärande (949A28 2022-06-06 Lin 1290306)",2022,VT,3.0,3.5,4.0,2.5,3.5,2.5,949A28
"Uppsats, master Specialpedagogik (949A09 2022-06-06 Lin 1291351)",2022,VT,4.0,4.0,4.0,3.0,4.0,4.0,949A09
"Uppsats, master specialpedagogik (949A13 2022-06-06 Lin 1353060)",2022,VT,4.5,4.5,4.5,4.5,5.0,4.5,949A13
"Uppsats, master, pedagogiskt arbete (949A07 2022-06-06 Lin 1353181)",2022,VT,5.0,5.0,5.0,4.5,5.0,4.5,949A07
"Uppsats, master, pedagogiskt arbete med inriktning mot yngre barns lärande (949A29 2022-06-06 Nor 1351344)",2022,VT,4.0,4.0,5.0,3.0,5.0,4.0,949A29
Uppsatsarbete i textilslöjd (76-90hp) (919G20 2022-06-06 Lin 1382724),2022,VT,0.0,0.0,0.0,0.0,0.0,0.0,919G20
Uppsatsarbete i textilslöjd (76-90hp) (919G20 2022-06-06 Lin 1421403),2022,VT,0.0,0.0,0.0,0.0,0.0,0.0,919G20
Uppsatsarbete i textilslöjd (76-90hp) (919G20 2023-01-16 Ort 1400862),2022,HT,4.0,3.0,3.33,3.67,4.33,3.67,919G20
Uppsatsarbete i textilslöjd (76-90hp) (919G20 2023-01-16 Ort 1401758),2022,HT,5.0,5.0,5.0,5.0,5.0,5.0,919G20
Uppsatsarbete i trä- och metallslöjd (76-90hp) (919G21 2022-06-06 Lin 1382726),2022,VT,4.0,3.0,5.0,3.0,5.0,4.0,919G21
Uppsatsarbete i trä- och metallslöjd (76-90hp) (919G21 2023-01-16 Ort 1400831),2022,HT,4.0,4.5,4.5,3.0,4.5,3.5,919G21
Uppsatsarbete i trä- och metallslöjd (76-90hp) (919G21 2023-01-16 Ort 1401761),2022,HT,3.75,3.0,4.0,2.25,3.25,3.5,919G21
Urban Air Mobility and Unmanned Traffic Management (TNFL12 2023-01-09 Nor 1389694),2022,HT,4.25,3.75,3.75,3.25,4.25,4.0,TNFL12
Uses of History in School and Society (921G35 2022-10-24 Lin 1400866),2022,HT,5.0,5.0,5.0,4.5,5.0,4.0,921G35
Utbildningsvetenskap som kunskapsområde och forskningsfält (949A02 2023-01-16 Lin 1403094),2022,HT,4.78,4.67,4.89,4.44,4.89,4.44,949A02
"Utbildningsvetenskaplig kärna 1, Allmändidaktik (972G01 2022-09-08 Lin 1403265)",2022,HT,4.4,4.5,4.53,4.29,4.6,4.1,972G01
"Utbildningsvetenskaplig kärna 1, Allmändidaktik (972G01 2022-09-08 Nor 1403283)",2022,HT,4.5,4.42,4.71,4.0,4.67,3.92,972G01
"Utbildningsvetenskaplig kärna 1, Allmändidaktik (973G01 2022-09-08 Lin 1403129)",2022,HT,4.48,4.57,4.7,4.3,4.59,4.39,973G01
"Utbildningsvetenskaplig kärna 1, Allmändidaktik (975G01 2022-09-05 Lin 1403177)",2022,HT,4.51,4.6,4.64,4.44,4.68,4.18,975G01
"Utbildningsvetenskaplig kärna 1, Allmändidaktik (Samläsning) (971G01 2022-09-12 Väs,Nyk,Nor 1403039)",2022,HT,4.53,4.67,4.67,4.47,4.87,4.0,971G01
"Utbildningsvetenskaplig kärna 2, Utveckling och lärande (972G17 2022-10-24 Lin 1403270)",2022,HT,4.35,4.3,4.45,4.36,4.43,4.0,972G17
"Utbildningsvetenskaplig kärna 2, Utveckling och lärande (972G17 2022-10-24 Nor 1403286)",2022,HT,3.7,3.7,4.1,3.8,4.45,3.2,972G17
"Utbildningsvetenskaplig kärna 2, Utveckling och lärande (973G09 2022-10-24 Lin 1403119)",2022,HT,4.64,4.33,4.64,4.33,4.67,4.17,973G09
"Utbildningsvetenskaplig kärna 2, Utveckling och lärande (975G07 2022-10-24 Lin 1401976)",2022,HT,4.48,4.29,4.35,4.02,4.55,3.81,975G07
"Utbildningsvetenskaplig kärna 2, Verksamhetsförlagd utbildning (974GV6 2022-10-24 Lin 1403200)",2022,HT,4.56,4.13,4.0,3.94,4.5,4.06,974GV6
"Utbildningsvetenskaplig kärna 2, Verksamhetsförlagd utbildning (974GVM 2022-10-24 Lin 1402098)",2022,HT,0.0,0.0,0.0,0.0,0.0,0.0,974GVM
"Utbildningsvetenskaplig kärna 2, Verksamhetsförlagd utbildning (975GV7 2022-10-24 Lin 1403316)",2022,HT,4.34,4.22,4.0,3.97,4.42,3.97,975GV7
Utbildningsvetenskaplig kärna 2: Verksamhetsförlagd utbildning (975GVM 2022-10-24 Lin 1401966),2022,HT,4.5,4.5,5.0,4.0,4.5,4.0,975GVM
"Utbildningsvetenskaplig kärna 3, Bedömning och betygsättning (975G03 2022-11-28 Lin 1401981)",2022,HT,4.08,3.79,4.18,3.58,4.25,3.48,975G03
"Utbildningsvetenskaplig kärna 3, Kunskapsbedömning (972G03 2022-11-28 Lin 1403255)",2022,HT,3.81,3.73,3.96,2.81,4.0,2.78,972G03
"Utbildningsvetenskaplig kärna 3, Kunskapsbedömning (972G03 2022-11-28 Nor 1403277)",2022,HT,4.47,4.29,4.35,3.94,4.81,3.94,972G03
"Utbildningsvetenskaplig kärna 3, Kunskapsbedömning (973G03 2022-11-28 Lin 1403134)",2022,HT,4.0,3.87,4.07,3.53,4.07,3.33,973G03
"Utbildningsvetenskaplig kärna 3, Utbildningshistoria, fritidshemmets och skolans samhälleliga roll och värdegrund (Samläsning) (971G03 2023-01-16 Nyk,Väs,Nor 1403067)",2022,HT,4.42,3.77,4.31,3.15,4.38,3.62,971G03
"Utbildningsvetenskaplig kärna 4, Sociala relationer - lärares ledarskap och redskap (971G38 2022-05-02 Nor 1385333)",2022,VT,3.33,3.67,3.83,2.67,3.17,3.5,971G38
"Utbildningsvetenskaplig kärna 4, Sociala relationer - lärares ledarskap och redskap (971G38 2022-05-02 Nyk 1397815)",2022,VT,3.5,3.0,4.0,2.5,3.0,3.5,971G38
"Utbildningsvetenskaplig kärna 4, Sociala relationer - lärares ledarskap och redskap (971G38 2022-05-02 Väs 1397812)",2022,VT,4.0,3.5,4.0,3.5,4.0,4.0,971G38
"Utbildningsvetenskaplig kärna 4, Utbildningshistoria, skolans samhälleliga roll och värdegrund (972G04 2023-01-16 Lin 1403250)",2022,HT,3.76,3.5,3.88,3.34,4.03,3.06,972G04
"Utbildningsvetenskaplig kärna 4, Utbildningshistoria, skolans samhälleliga roll och värdegrund (972G04 2023-01-16 Nor 1403274)",2022,HT,4.0,4.11,4.37,4.0,4.44,3.79,972G04
"Utbildningsvetenskaplig kärna 4, Utbildningshistoria, skolans samhälleliga roll och värdegrund (973G04 2023-01-16 Lin 1403139)",2022,HT,3.88,3.76,3.81,3.47,3.94,3.35,973G04
"Utbildningsvetenskaplig kärna 4, Utbildningshistoria, skolans samhälleliga roll och värdegrund (975G04 2023-01-16 Lin 1401986)",2022,HT,3.71,3.26,4.08,3.26,4.11,3.15,975G04
"Utbildningsvetenskaplig kärna 5, Bedömning och uppföljning för utveckling och lärande (Samläsning) (971G18 2022-11-28 Nor,Väs,Nyk 1403025)",2022,HT,4.86,4.43,4.71,4.14,4.86,4.21,971G18
"Utbildningsvetenskaplig kärna 5, Sociala relationer och förskollärares ledarskap (970G20 2022-03-28 Hul 1397764)",2022,VT,0.0,0.0,0.0,0.0,0.0,0.0,970G20
"Utbildningsvetenskaplig kärna 5, Sociala relationer och förskollärares ledarskap (970G20 2022-03-28 Nor 1384542)",2022,VT,3.82,3.17,3.57,3.43,3.52,3.0,970G20
"Utbildningsvetenskaplig kärna 5, Sociala relationer och förskollärares ledarskap (970G20 2022-03-28 Vim 1397768)",2022,VT,4.0,4.0,4.0,3.0,4.0,3.0,970G20
"Utbildningsvetenskaplig kärna 5, Sociala relationer och förskollärares ledarskap (970G20 2022-03-28 Väs 1397766)",2022,VT,4.5,4.25,4.25,4.5,4.5,4.25,970G20
"Utbildningsvetenskaplig kärna 5, Sociala relationer och lärares ledarskap (93UK51 2022-02-21 Lin 1383674)",2022,VT,4.47,3.89,4.11,3.89,4.42,3.74,93UK51
"Utbildningsvetenskaplig kärna 5, Sociala relationer och lärares ledarskap (93UK51 2022-09-19 Lin 1401294)",2022,HT,4.27,3.92,3.77,3.68,4.14,3.71,93UK51
"Utbildningsvetenskaplig kärna 5, Sociala relationer och lärares ledarskap (972G22 2022-05-02 Lin 1384440)",2022,VT,4.83,4.67,4.83,4.67,4.67,4.67,972G22
"Utbildningsvetenskaplig kärna 5, Sociala relationer och lärares ledarskap (972G22 2022-05-02 Nor 1384465)",2022,VT,3.2,2.3,3.5,2.2,3.33,2.5,972G22
"Utbildningsvetenskaplig kärna 5, Sociala relationer och lärares ledarskap (973G31 2022-05-02 Lin 1384506)",2022,VT,4.27,4.18,4.27,4.55,4.2,3.82,973G31
"Utbildningsvetenskaplig kärna 6, Specialpedagogik (970G21 2022-05-02 Hul 1397770)",2022,VT,0.0,0.0,0.0,0.0,0.0,0.0,970G21
"Utbildningsvetenskaplig kärna 6, Specialpedagogik (970G21 2022-05-02 Nor 1384537)",2022,VT,4.64,4.36,4.73,4.64,4.64,4.45,970G21
"Utbildningsvetenskaplig kärna 6, Specialpedagogik (970G21 2022-05-02 Vim 1397774)",2022,VT,0.0,0.0,0.0,0.0,0.0,0.0,970G21
"Utbildningsvetenskaplig kärna 6, Specialpedagogik (970G21 2022-05-02 Väs 1397772)",2022,VT,5.0,5.0,5.0,5.0,5.0,5.0,970G21
"Utbildningsvetenskaplig kärna 6, Specialpedagogik (971G19 2022-06-06 Nor 1385328)",2022,VT,4.5,4.62,4.5,4.62,4.75,4.25,971G19
"Utbildningsvetenskaplig kärna 6, Specialpedagogik (971G19 2022-06-06 Nyk 1397820)",2022,VT,4.0,4.0,4.0,4.0,4.0,4.0,971G19
"Utbildningsvetenskaplig kärna 6, Specialpedagogik (971G19 2022-06-06 Väs 1397818)",2022,VT,4.75,4.25,4.75,4.5,4.75,4.25,971G19
"Utbildningsvetenskaplig kärna 6, Specialpedagogik (972G23 2022-06-06 Lin 1384450)",2022,VT,4.5,4.67,4.33,4.17,4.67,4.5,972G23
"Utbildningsvetenskaplig kärna 6, Specialpedagogik (972G23 2022-06-06 Nor 1384471)",2022,VT,4.67,3.83,4.33,3.83,4.67,4.17,972G23
"Utbildningsvetenskaplig kärna 6, Specialpedagogik (973G32 2022-06-06 Lin 1384521)",2022,VT,4.5,4.07,4.33,4.0,4.53,4.07,973G32
"Utbildningsvetenskaplig kärna 7, Skolutveckling och utvärdering (971G21 2022-11-28 Nor 1402326)",2022,HT,3.62,3.23,3.38,2.85,3.54,3.0,971G21
"Utbildningsvetenskaplig kärna 7, Skolutveckling och utvärdering (971G21 2022-11-28 Nyk 1446716)",2022,HT,3.33,3.33,3.33,3.33,4.0,3.0,971G21
"Utbildningsvetenskaplig kärna 7, Skolutveckling och utvärdering (971G21 2022-11-28 Väs 1446718)",2022,HT,2.71,3.0,3.0,2.5,3.25,2.29,971G21
"Utbildningsvetenskaplig kärna 7, Skolutveckling och utvärdering (972A02 2022-11-28 Lin 1401667)",2022,HT,4.71,4.71,4.57,3.86,4.71,3.71,972A02
"Utbildningsvetenskaplig kärna 7, Skolutveckling och utvärdering (972A02 2022-11-28 Nor 1401685)",2022,HT,4.0,4.0,4.22,3.44,4.25,3.56,972A02
"Utbildningsvetenskaplig kärna 7, Skolutveckling och utvärdering (973A08 2022-11-28 Lin 1401714)",2022,HT,3.3,3.25,3.42,3.58,3.7,2.92,973A08
"Utbildningsvetenskaplig kärna 7, Skolutveckling och utvärdering (9AUK71 2022-01-24 Lin 1292452)",2022,VT,5.0,3.0,4.0,4.0,4.0,3.0,9AUK71
"Utbildningsvetenskaplig kärna 7, Skolutveckling och utvärdering (9AUK77 2022-09-26 Lin 1401527)",2022,HT,4.0,3.6,3.4,3.0,4.25,2.8,9AUK77
"Utbildningsvetenskaplig kärna 7, Utvärdering och utveckling av förskolans verksamhet (970A05 2022-06-06 Hul 1397758)",2022,VT,0.0,0.0,0.0,0.0,0.0,0.0,970A05
"Utbildningsvetenskaplig kärna 7, Utvärdering och utveckling av förskolans verksamhet (970A05 2022-06-06 Nor 1384552)",2022,VT,3.75,3.75,4.25,3.0,4.25,3.5,970A05
"Utbildningsvetenskaplig kärna 7, Utvärdering och utveckling av förskolans verksamhet (970A05 2022-06-06 Vim 1397762)",2022,VT,0.0,0.0,0.0,0.0,0.0,0.0,970A05
"Utbildningsvetenskaplig kärna 7, Utvärdering och utveckling av förskolans verksamhet (970A05 2022-06-06 Väs 1397760)",2022,VT,2.25,2.5,3.25,1.75,3.25,1.75,970A05
"Utbildningsvetenskaplig kärna 8, Teori och metod (971G23 2022-01-24 Nor 1291224)",2022,VT,3.85,3.62,4.31,3.23,4.08,3.46,971G23
"Utbildningsvetenskaplig kärna 8, Teori och metod (972A03 2022-01-24 Lin 1292249)",2022,VT,3.54,3.54,4.0,2.62,3.69,3.08,972A03
"Utbildningsvetenskaplig kärna 8, Teori och metod (972A03 2022-01-24 Nor 1292253)",2022,VT,4.5,4.75,4.75,4.25,4.5,4.25,972A03
"Utbildningsvetenskaplig kärna 8, Teori och metod (973A09 2022-01-24 Lin 1292194)",2022,VT,3.64,3.27,4.18,3.55,4.1,3.09,973A09
"Utbildningsvetenskaplig kärna 8, Vetenskap, teori och metod (970A01 2022-09-26 Hul 1451973)",2022,HT,0.0,0.0,0.0,0.0,0.0,0.0,970A01
"Utbildningsvetenskaplig kärna 8, Vetenskap, teori och metod (970A01 2022-09-26 Nor 1401744)",2022,HT,3.82,3.82,4.09,3.27,4.0,3.09,970A01
"Utbildningsvetenskaplig kärna 8, Vetenskap, teori och metod (970A01 2022-09-26 Vim 1451975)",2022,HT,0.0,0.0,0.0,0.0,0.0,0.0,970A01
"Utbildningsvetenskaplig kärna 8, Vetenskap, teori och metod (970A01 2022-09-26 Väs 1451977)",2022,HT,5.0,5.0,5.0,4.0,5.0,4.5,970A01
"Utbildningsvetenskaplig kärna 8, Vetenskapsteori och metod (9AUK81 2022-06-06 Lin 1383891)",2022,VT,5.0,5.0,5.0,4.0,5.0,4.67,9AUK81
"Utbildningsvetenskaplig kärna 8, Vetenskapsteori och metod (9AUK81 2022-11-28 Lin 1401095)",2022,HT,4.0,3.5,4.5,4.0,5.0,4.0,9AUK81
Utbildningsvetenskaplig kärna I (9KAA01 2022-09-26 Lin 1449964),2022,HT,4.63,4.47,4.53,4.37,4.86,4.43,9KAA01
Utbildningsvetenskaplig kärna II (9KAA03 2023-01-16 Lin 1450086),2022,HT,4.9,4.76,4.71,4.67,4.95,4.62,9KAA03
"Utbildningsvetenskaplig kärna, Sociala relationer och förskollärares ledarskap (9U0018 2022-03-28 Lin 1398105)",2022,VT,4.78,4.56,4.56,4.62,4.78,4.56,9U0018
"Utbildningsvetenskaplig kärna, Specialpedagogik (9AUK62 2022-11-28 Lin 1421255)",2022,HT,4.64,4.09,4.32,3.91,4.68,3.96,9AUK62
"Utbildningsvetenskaplig kärna, Specialpedagogik (9U0019 2022-05-02 Lin 1398109)",2022,VT,4.9,4.8,4.8,4.8,5.0,4.9,9U0019
"Utbildningsvetenskaplig kärna, Utvärdering och utveckling av förskolans verksamhet (9UA002 2022-06-06 Lin 1420888)",2022,VT,4.67,4.17,4.5,4.5,4.5,4.0,9UA002
"Utbildningsvetenskaplig kärna, verksamhetsförlagd utbildning 1 (970G33 2022-10-17 Kat 1423625)",2022,HT,4.8,4.8,4.5,4.8,4.6,4.4,970G33
"Utbildningsvetenskaplig kärna, verksamhetsförlagd utbildning 1 (970G33 2022-10-17 Ron 1423627)",2022,HT,4.75,4.59,4.62,4.59,4.62,4.29,970G33
"Utbildningsvetenskaplig kärna, verksamhetsförlagd utbildning 1 (972G18 2022-10-24 Lin 1403260)",2022,HT,4.67,4.47,4.62,4.73,4.8,4.12,972G18
"Utbildningsvetenskaplig kärna, verksamhetsförlagd utbildning 1 (972G18 2022-10-24 Nor 1403280)",2022,HT,4.91,4.73,4.91,4.64,4.82,4.55,972G18
"Utbildningsvetenskaplig kärna, verksamhetsförlagd utbildning 1 (973G20 2022-10-10 Lin 1403124)",2022,HT,4.86,4.77,4.79,4.77,4.92,4.64,973G20
"Utbildningsvetenskaplig kärna, verksamhetsförlagd utbildning 1 (Samläsning) (970G33 2022-10-17 Nor,Väs 1403362)",2022,HT,4.9,4.83,4.77,4.73,4.77,4.63,970G33
"Utbildningsvetenskaplig kärna, Verksamhetsförlagd utbildning 1 (Samläsning) (971G17 2022-10-10 Nyk,Nor,Väs 1403061)",2022,HT,4.8,4.7,5.0,4.6,4.91,4.42,971G17
"Utbildningsvetenskaplig kärna, Vetenskap, teori och metod (9UA003 2022-09-26 Lin 1428285)",2022,HT,4.88,4.88,4.75,4.5,4.88,4.5,9UA003
"Utbildningsvetenskaplig kärna, Vetenskapsteori och metod (93UK82 2022-03-28 Lin 1399379)",2022,VT,3.38,3.62,3.69,3.0,3.94,3.0,93UK82
"Utbildningsvetenskaplig kärna, Vetenskapsteori och metod (93UK82 2022-10-24 Lin 1401369)",2022,HT,4.19,3.57,4.35,3.14,4.42,3.33,93UK82
"Utbildningsvetenskaplig kärna: Allmändidaktik, utbildningshistoria samt fritidshemmets demokratiska och samhälleliga uppdrag (Samläsning) (9EF503 2023-01-16 Nor,Kat,Vim,Mot 1403444)",2022,HT,4.47,4.6,4.67,4.21,4.53,4.07,9EF503
Utbildningsvetenskaplig kärna: Bedömning och uppföljning (9EF508 2022-09-29 Kat 1386255),2022,HT,4.0,2.67,4.5,2.67,4.25,3.75,9EF508
Utbildningsvetenskaplig kärna: Bedömning och uppföljning (9EF508 2022-09-29 Mot 1386259),2022,HT,3.5,2.5,4.0,3.0,3.0,3.5,9EF508
Utbildningsvetenskaplig kärna: Bedömning och uppföljning (9EF508 2022-09-29 Nor 1382761),2022,HT,3.67,3.56,4.33,3.38,4.12,3.67,9EF508
Utbildningsvetenskaplig kärna: Bedömning och uppföljning (9EF508 2022-09-29 Vim 1386257),2022,HT,4.5,4.5,4.5,4.17,4.83,4.5,9EF508
